,Nama Hotel,Nama Kota,Provinsi,Latitude,Longitude,Luas Kamar,Kapasitas,Rating,Harga
102,Fieris Hotel,Kota Jakarta Timur,Daerah Khusus Ibukota Jakarta,-6.1980599,106.8903996,20,3,4.05,525000
103,Gran Melia Jakarta,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2212234,106.8320539,45,4,4.07,1977098
104,Diradja Hotel,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.24,106.8204416,24,3,4.03,418000
105,Grand Tjokro Jakarta,Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,-6.1656813,106.7817314,22,3,4.25,499999
106,Kyriad Metro Kebayoran,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2373781,106.7653385,24,3,4.02,420000
107,Amaris Hotel Season City Jakarta,Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,-6.15,106.796084,16,2,4,280000
108,Luminor Hotel Kota,Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,-6.15,106.823191,21,1,4.25,525000
109,Best Western Senayan,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.223663,106.7982879,34,1,4.03,988200
110,Grand Mercure Jakarta Harmoni,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.1603243,106.8193746,30,1,4.05,1149112
111,Oakwood Premier Cozmo Jakarta,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2270309,106.8245938,42,3,4.07,2604117
112,Zuri Express Hotel Mangga Dua,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.14,106.8288531,20,4,4.05,288231
113,Hotel 88 ITC Fatmawati Panglima Polim,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2631178,106.7965435,20,2,4.05,425000
114,Hotel Rivoli Senen Jakarta,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.18,106.8445258,17,2,4.25,309600
115,Picasso inn,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2670442,106.8027362,19,2,4.08,287500
116,V Hotel Tebet Jakarta,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.24,106.8447793,17,1,4.42,350001
117,Golden Boutique Hotel Melawai,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2466468,106.8022826,19,2,4.03,494320
118,Amaris Hotel Bandara Soekarno Hatta,Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,-6.115996,106.690451,16,2,3.15,396000
119,Zest Airport Jakarta,Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,-6.12,106.6907121,19,3,4.03,510000
120,Neo Hotel Puri Indah by ASTON,Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,-6.1857174,106.7316564,19,3,4.03,453380
121,Amaris Hotel Pasar Baru Jakarta,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.1606146,106.8368188,18,2,4.42,317340
122,Dreamtel Jakarta,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.19,106.830715,19,3,4.25,351000
123,favehotel Tanah Abang - Cideng,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.178106,106.812962,19,2,4.03,340651
124,Hotel Shalva Jakarta,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.1947811,106.8163364,20,2,4.03,551000
125,Shangri-La Jakarta,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.2,106.8204953,32,3,4.75,2817941
126,The Residences at Puri Casablanca,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2227732,106.838349,44,5,4.03,830000
127,Ibis Styles Jakarta Sunter - CHSE Certified,Kota Jakarta Utara,Daerah Khusus Ibukota Jakarta,-6.137886,106.8870127,35,2,4.03,544500
128,Grand Cempaka Business Hotel,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.1726731,106.8621303,28,3,4.03,427500
129,favehotel Kelapa Gading Jakarta,Kota Jakarta Utara,Daerah Khusus Ibukota Jakarta,-6.1612554,106.9078354,18,3,4.58,346737
130,Liberty Hotel Thamrin Jakarta,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.2000433,106.8225135,24,3,4.07,641250
131,Amaris Hotel Slipi,Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,-6.1867381,106.7967648,18,2,4.03,392000
132,favehotel Bandara - Tangerang,Kota Tangerang,Banten,-6.134703,106.6864513,18,3,4.03,513820
133,Verse Luxe Hotel Wahid Hasyim,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.1870284,106.8212793,20,4,4.25,509183
134,MaxOneHotels.com @ Kramat - Jakarta,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.1900682,106.8477525,16,3,4.42,310500
135,Hotel 88 Grogol Jakarta,Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,-6.1659351,106.79093,18,3,4.02,322400
136,All Nite & Day Residence Kebon Jeruk Jakarta,Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,-6.19,106.7614916,18,2,4.42,380000
137,Sensa Hotel Bandung,Kota Bandung,Jawa Barat,-6.89,107.6051874,34,2,4.05,788000
138,Mason Pine Hotel Bandung,Kabupaten Bandung Barat,Jawa Barat,-6.8621595,107.4803231,30,2,4.58,1850000
139,Harris Hotel & Conventions Festival Citilink Bandung,Kota Bandung,Jawa Barat,-6.9290543,107.5861369,22,3,4.03,670000
140,Amaroossa Bandung,Kota Bandung,Jawa Barat,-6.908499,107.6184802,46,3,4.02,4000000
141,Shakti Hotel Bandung,Kota Bandung,Jawa Barat,-6.9369749,107.6976091,20,2,4.42,444600
142,The Luxton Bandung,Kota Bandung,Jawa Barat,-6.9038207,107.6114055,33,2,4.42,1101600
143,Hotel Neo Dipatiukur by ASTON,Kota Bandung,Jawa Barat,-6.89,107.6164407,21,3,4.58,638045
144,favehotel Braga Bandung,Kota Bandung,Jawa Barat,-6.9169595,107.6091119,16,3,4.08,540000
145,Fabu Hotel Bandung,Kota Bandung,Jawa Barat,-6.92,107.6007094,26,3,4.25,378100
146,Kytos Hotel,Kota Bandung,Jawa Barat,-6.8694258,107.5933034,18,2,4.03,367200
147,POP! Hotel Festival Citylink - Bandung,Kota Bandung,Jawa Barat,-6.9290543,107.5861369,16,3,4.02,383000
148,Trizara Resorts Glamping,Kabupaten Bandung Barat,Jawa Barat,-6.8273137,107.6020728,35,2,4.05,1140000
149,De Paviljoen Bandung,Kota Bandung,Jawa Barat,-6.9063306,107.6205148,26,4,4.07,1147500
150,Sari Ater Hotel,Kabupaten Subang,Jawa Barat,-6.7313756,107.6535055,24,2,4.42,294200
151,Crowne Plaza BANDUNG,Kota Bandung,Jawa Barat,-6.9170976,107.6120939,20,1,4.58,1543929
152,West Point Hotel,Kota Bandung,Jawa Barat,-6.9125912,107.578165,28,2,4.42,568000
153,Kollektiv Hotel,Kota Bandung,Jawa Barat,-6.878018,107.5868077,15,4,4.75,760000
154,GH Universal Hotel,Kota Bandung,Jawa Barat,-6.85,107.5982276,45,3,4.42,2100000
155,Holiday Inn BANDUNG PASTEUR,Kota Bandung,Jawa Barat,-6.9,107.5908002,24,1,4.05,1245229
156,Hotel Savoy Homann,Kota Bandung,Jawa Barat,-6.9220456,107.6103033,28,2,4.58,794500
157,Aryaduta Bandung,Kota Bandung,Jawa Barat,-6.9094488,107.6118074,46,3,4.58,1921500
158,Grand Dafam Braga Bandung,Bandung City,Jawa Barat,-6.92,107.6089854,24,2,4.42,1064000
159,Kimaya Braga Bandung by Harris,Kota Bandung,Jawa Barat,-6.9208377,107.6103301,20,1,4.42,575001
160,Horison Ultima Bandung,Kota Bandung,Jawa Barat,-6.9364327,107.623821,30,2,4,472500
161,Ivory Hotel Bandung,Kota Bandung,Jawa Barat,-6.9,107.6139818,23,3,4.07,667000
162,Hay Bandung,Kota Bandung,Jawa Barat,-6.91,107.6122153,22,3,4.05,762300
163,M Premiere Hotel Dago,Kota Bandung,Jawa Barat,-6.9023519,107.6124921,22,2,4.05,736250
164,Grandia Hotel Bandung,Kota Bandung,Jawa Barat,-6.9009956,107.6046287,26,4,4.05,909900
165,Harris Hotel & Conventions Ciumbuleuit Bandung,Kota Bandung,Jawa Barat,-6.8807494,107.6041797,30,4,4.58,735000
166,Travello Hotel Bandung,Kota Bandung,Jawa Barat,-6.8612374,107.5956846,26,2,4.58,540540
167,ibis Styles Bandung Grand Central,Kota Bandung,Jawa Barat,-6.9006712,107.6174754,23,1,4.07,799999
168,Grand Hotel Preanger,Kota Bandung,Jawa Barat,-6.921171,107.6115211,33,2,4.05,1530000
169,Hotel Santika Pasir Koja,Kota Bandung,Jawa Barat,-6.9327158,107.5902245,18,2,4.42,516200
170,Sheraton Bandung Hotel & Towers,Kota Bandung,Jawa Barat,-6.8743077,107.6200061,20,1,4.58,2240738
171,YELLO Hotel Paskal Bandung,Kota Bandung,Jawa Barat,-6.9150499,107.5958171,22,3,4.58,808000
172,Grand Cordela Hotel Bandung,Kota Bandung,Jawa Barat,-6.9370267,107.6873178,18,2,4.05,380000
173,Gino Feruci Braga by KAGUM Hotels,Kota Bandung,Jawa Barat,-6.92,107.6090011,20,3,4.58,738000
174,Mercure Bandung City Centre,Kota Bandung,Jawa Barat,-6.92,107.6114567,30,1,4.42,949500
175,Blackbird Hotel Bandung,Kota Bandung,Jawa Barat,-6.8578727,107.5939385,22,2,4.58,885000
176,Malaka Hotel Bandung,Kota Bandung,Jawa Barat,-6.93,107.6234178,15,4,4.42,814905
177,FOX Lite Hotel Metro Indah - Bandung,Kota Bandung,Jawa Barat,-6.9421418,107.6587375,24,2,4.42,538000
178,ibis Bandung Pasteur,Kota Bandung,Jawa Barat,-6.9,107.5961577,18,1,4.42,599988
179,Banana Inn by KAGUM Hotels,Kota Bandung,Jawa Barat,-6.8666052,107.5934884,30,3,4.03,532800
180,El Cavana Hotel Paskal,Kota Bandung,Jawa Barat,-6.9147399,107.5994884,22,3,4.25,557568
181,DeRain Hotel Bandung,Kota Bandung,Jawa Barat,-6.92,107.6165918,26,2,4.25,522000
182,The House Tour Uphill,Kabupaten Bandung Barat,Jawa Barat,-6.8452543,107.5927787,40,2,4.42,1591250
183,Kedaton Hotel,Kota Bandung,Jawa Barat,-6.92,107.6070436,24,3,4.03,499999
184,Moxy Bandung,Kota Bandung,Jawa Barat,-6.9003605,107.6120026,16,1,4.58,1108258
185,Courtyard by Marriott Bandung Dago,Kota Bandung,Jawa Barat,-6.9041809,107.6103882,18,1,4.05,2228626
186,Namin Dago Hotel,Kota Bandung,Jawa Barat,-6.8950581,107.6148111,18,2,4.42,566913
187,favehotel Hyper Square,Kota Bandung,Jawa Barat,-6.9150499,107.5958171,22,4,4.25,696000
188,Hotel Vio Pasteur,Kota Bandung,Jawa Barat,-6.9,107.5987028,17,2,4.02,418500
189,Amaris Hotel Cihampelas Bandung,Kota Bandung,Jawa Barat,-6.8902822,107.6036374,16,2,4.25,540000
190,House Sangkuriang,Kota Bandung,Jawa Barat,-6.88,107.6115211,24,3,4.05,700000
191,de Braga by Artotel,Kota Bandung,Jawa Barat,-6.9194606,107.6098208,31,2,4.58,1632150
192,Noor Hotel,Kota Bandung,Jawa Barat,-6.9070039,107.6191969,32,3,4.92,1350000
193,Patra Bandung Hotel,Kota Bandung,Jawa Barat,-6.8891136,107.613977,23,3,4.58,665000
194,Chara Hotel,Kota Bandung,Jawa Barat,-6.9209181,107.6050879,21,2,4.02,327750
195,Yokotel Hotel Jatinangor,Kabupaten Sumedang,Jawa Barat,-6.9349737,107.7676067,15,3,4.03,427500
196,Hotel Nyland Pasteur,Kota Bandung,Jawa Barat,-6.9,107.5872697,27,2,4,360000
197,Cinnamon Hotel Boutique Syariah,Kota Bandung,Jawa Barat,-6.8586559,107.5952371,40,3,4.08,845199
198,Mulberry Hill by The Lodge,Kabupaten Bandung Barat,Jawa Barat,-6.8254981,107.6866703,40,2,4.02,746700
199,Bukit Vipassana Hotel,Kabupaten Bandung Barat,Jawa Barat,-6.8094974,107.5980311,24,4,4.25,420029
200,Marbella Hotel Dago Bandung,Kabupaten Bandung,Jawa Barat,-6.869581,107.632386,37,2,4,760000
201,Sari Ater Kamboti Hotel Bandung,Kota Bandung,Jawa Barat,-6.9045044,107.6395485,28,3,4.25,570000
202,Grand Sunshine Resort and Convention,Kabupaten Bandung,Jawa Barat,-7.03,107.5249439,32,19,4.58,855000
203,youre at - The Majesty Apartment,Kota Bandung,Jawa Barat,-6.8842097,107.5815713,38,4,4.05,1076231
